Date : 2022-10-26 16:13:40
Directory : c:\Drive\Dev\CPP\opengl\OpenGL\src
Total : 222 files,  -54006 codes, -7806 comments, -8792 blanks, all -70604 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_4.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_4.js                        | JavaScript |         -5 |          0 |         -1 |         -6 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_5.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_5.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_6.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_6.js                        | JavaScript |         -6 |          0 |         -1 |         -7 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_7.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_7.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_8.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_8.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_9.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_9.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_a.html                      | HTML       |        -37 |          0 |         -1 |        -38 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\groups_a.js                        | JavaScript |         -4 |          0 |         -1 |         -5 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\mag_sel.svg                        | XML        |        -72 |         -1 |         -2 |        -75 |
| c:\Drive\Dev\CPP\opengl\Dependencies\GLFW\docs\html\search\nomatches.html                     | HTML       |        -13 |          0 |         -1 |        -14 |
